OBJECTID,ZCTA5CE10,GEOID10,ALAND10,AWATER10,County,GlobalID,Shape_STArea__,Shape_STLength__,ID,GEOID10_1,Total_Population,Population_Under_18,Population_Under_5,PopPerSqMile
74,48134,2648134,46410603,1160454,Wayne,464cc62f-9c14-4e0b-a165-0f41bf60c2f3,512051891.889881,160545.668979005,378,48134,20775,5076,1148,1159.36987634738
75,48111,2648111,174712960,5993611,Wayne,eb03e2c0-7cf7-44ca-b433-3636f30aad05,1945053480.33627,234499.232231826,363,48111,42026,10062,2687,623.004416250341
76,48341,2648341,16553506,622686,Oakland,651fba3f-bcfa-4118-861c-ca1ec4a286d7,184853425.54292,104287.320447794,64,48341,17112,3747,995,2677.37356862379
77,48302,2648302,28779375,3009391,Oakland,e9e440eb-3357-43b1-90d7-2bfd6868b2c8,342119231.658373,105004.14131543,39,48302,15414,3029,460,1387.17798302951
78,48304,2648304,29280740,240747,Oakland,db5ec670-cd35-4770-b9e4-8430659366bf,317718411.667264,87748.9067436962,40,48304,16395,3591,759,1450.19887339948
79,48348,2648348,85808148,2392869,Oakland,238cdd44-edd7-4504-8579-a878134caf75,949222732.439929,184137.969609348,67,48348,23000,6199,1101,694.220602260379
80,48346,2648346,46526882,2248921,Oakland,b2d4f4df-6279-45ff-a9e5-756aa57650a6,524928969.273942,121144.327956273,66,48346,23047,5386,1105,1282.94678638451
81,48237,2648237,13341572,0,Oakland,616001ed-8523-480a-a10e-5424f1439b16,143589203.305979,58545.8435441519,32,48237,29622,7217,1817,5750.49941993311
82,48025,2648025,20795336,40066,Oakland,aaaaf1ee-e31d-40b2-889d-31bc93c362ab,224238949.093881,82546.5087932433,300,48025,14616,3691,631,1820.37466734114
83,48017,2648017,5683647,0,Oakland,45907ba0-354c-4b48-a639-3e47852c783c,61169624.9009713,38403.0521513809,296,48017,11943,2074,563,5442.32566429418
84,48204,2648204,12980500,0,Wayne,7f4dde15-eb34-4531-98d0-12d3280dc3eb,139707036.313053,50996.762287999,2,48204,26692,6700,2165,5325.83718193852
85,48173,2648173,30022088,5808529,Wayne,c4f74aff-937d-4a80-88a7-a9c2c49c1fd4,385685222.959714,124599.789486865,405,48173,12647,3027,610,1091.05040692121
86,48141,2648141,16194528,1610,Wayne,9a89183b-f826-4383-a5f9-d1d2f81e6c27,174320362.914438,52712.7343313743,384,48141,25056,7311,2170,4007.20569881882
87,48229,2648229,7303781,4867,Wayne,1a48929a-52ec-4e01-9768-7c8cfc648b90,78664840.9842521,45206.9359759114,26,48229,9591,2517,817,3401.06035551737
88,48184,2648184,18208616,3148,Wayne,43730835-754e-4481-9c38-0250bfa8a43d,196016400.221928,85278.6224534715,414,48184,17341,4000,909,2466.58105611501
89,48243,2648243,42722,0,Wayne,689a977d-d1bf-47f9-8645-8f756000d442,459806.291032977,3356.85007730524,37,48243,0,0,0,0
90,48005,2648005,94471583,156724,Macomb,06e1022f-4b96-48f0-8843-d9724144c5ba,1018390410.00508,127784.16387385,291,48005,5407,1174,205,148.235890832211
91,48211,2648211,10848548,0,Wayne,edb5288a-01e3-4c10-8a4f-e6657301d060,116760606.800833,73661.3160527818,9,48211,6372,1691,497,1521.25613579076
92,48120,2648120,8253572,149422,Wayne,941f337c-ad58-4006-bed0-627c4dde1446,90441741.8169886,68392.5476174626,368,48120,7350,2203,594,2306.44756385766
93,48201,2648201,5193540,0,Wayne,c96b32fc-de7b-4b1b-9722-096975fc0475,55897578.7309995,46716.3131174728,427,48201,12465,1977,743,6216.22882211176
94,48127,2648127,19924557,22246,Wayne,6cf862fa-0554-4f95-8927-9b58f33ef1c9,214685826.391343,73959.272114342,373,48127,37007,9546,2645,4810.53519790192
95,48442,2648442,221106779,9626182,Oakland,ee2cf303-06af-43e0-9862-19dba43f0624,2483145392.70599,341833.054365677,119,48442,21311,5230,1179,249.631830744783
96,48314,2648314,19963757,86817,Macomb,289f0019-d41b-4e65-a1ce-2095a922f591,215789098.313333,70442.9996408508,47,48314,20654,4330,1078,2679.5390365
97,48038,2648038,28395064,40058,Macomb,e7c04324-1d39-4684-9982-501a1ec1bef0,306027065.630127,95646.4811022819,310,48038,42221,7298,2110,3851.09164840832
98,48026,2648026,10725535,40959,Macomb,b72daf5d-c70c-4d0b-bb2a-947de75f6dc6,115873756.560594,43019.9566042368,301,48026,14544,3099,788,3512.06942393522
99,48386,2648386,43311680,6263206,Oakland,e871b11b-745f-4787-b22e-4fae6c44bb25,533532279.70627,121508.675132128,86,48386,17669,3611,907,1056.58668068153
100,48326,2648326,44779600,1578102,Oakland,eb40c6c0-7167-43ec-9e31-605a29aac364,498907863.180848,145029.050711004,55,48326,20589,4090,1363,1190.83950742339
101,48390,2648390,32461268,2524821,Oakland,12cc8f65-637f-4f2e-876b-74b43ee6d8c5,376531975.907834,103941.979743373,87,48390,23370,4962,1258,1864.62465703975
102,48374,2648374,23521854,295905,Oakland,e25c0a97-b835-4e48-af48-cce4ab83d163,256340446.050186,68197.7265450404,79,48374,14863,4395,971,1636.56447045223
103,48377,2648377,24977248,2201392,Oakland,f28b2874-1921-4297-8948-a2a5ca00b3d9,292508056.048859,76445.1117979304,81,48377,15810,3039,1011,1639.40205300244
